location,population,infection_count,infected_percentage
Lesotho,2159067,32775,1.51801681
Haiti,11541683,30478,0.26406894
Mali,20855724,30433,0.145921571
Benin,12451031,26952,0.216464002
Somalia,16359500,26410,0.161435252
Isle of Man,85410,25542,29.90516333
Congo,5657017,24049,0.425118044
Saint Lucia,184401,22862,12.39798049
Timor,1343875,22789,1.695767836
Taiwan,23855008,21492,0.09009429
Burkina Faso,21497097,20751,0.096529313
Bhutan,779900,20116,2.579305039
Cayman Islands,66498,20073,30.18587025
Nicaragua,6702379,18290,0.272888179
Tajikistan,9749625,17786,0.182427529
South Sudan,11381377,17073,0.150008211
Gibraltar,33691,16148,47.92971417
Equatorial Guinea,1449891,15898,1.096496219
Djibouti,1002197,15572,1.553786331
San Marino,34010,14834,43.61658336
Central African Republic,4919987,14649,0.297744689
Liechtenstein,38254,14642,38.27573587
Grenada,113015,13921,12.31783392
Bermuda,62092,11989,19.30844553
Gambia,2486937,11973,0.481435597
Greenland,56868,11901,20.92741085
Yemen,30490639,11797,0.038690563
Dominica,72172,11643,16.13229507
Monaco,39520,9964,25.21255061
Eritrea,3601462,9722,0.269945928
Saint Vincent and the Grenadines,111269,9447,8.490235376
Solomon Islands,703995,9412,1.336941314
Niger,25130810,8786,0.03496107
Comoros,888456,8074,0.90876757
Guinea-Bissau,2015490,8071,0.400448526
Bonaire Sint Eustatius and Saba,26445,7739,29.26451125
Sierra Leone,8141343,7670,0.094210501
Antigua and Barbuda,98728,7470,7.566242606
Liberia,5180208,7397,0.142793494
Chad,16914985,7269,0.04297373
British Virgin Islands,30423,6104,20.06376754
Sao Tome and Principe,223364,5939,2.65888863
Turks and Caicos Islands,39226,5874,14.97476164
Saint Kitts and Nevis,53546,5541,10.3481119
Palau,18174,3935,21.65181028
Kiribati,121388,3041,2.505189969
Anguilla,15125,2595,17.15702479
Tonga,106759,2072,1.940819978
Saint Pierre and Miquelon,5771,1554,26.92774216
Cook Islands,17572,536,3.050307307
Wallis and Futuna,11094,454,4.092302145
Vanuatu,314464,386,0.12274855
Montserrat,4981,171,3.433045573
Falkland Islands,3528,119,3.373015873
Macao,658391,82,0.012454605
Samoa,200144,48,0.023982732
Vatican,812,29,3.571428571
Marshall Islands,59618,7,0.01174142
Saint Helena,6095,4,0.065627564
Micronesia (country),116255,1,0.000860178
Jersey,101073,NULL,NULL
Pitcairn,47,NULL,NULL
Tuvalu,11925,NULL,NULL
Sint Maarten (Dutch part),43421,NULL,NULL
Niue,1614,NULL,NULL
Turkmenistan,6117933,NULL,NULL
Northern Cyprus,NULL,NULL,NULL
Guernsey,63385,NULL,NULL
Nauru,10873,NULL,NULL
Tokelau,1368,NULL,NULL
